model_name,model_family,company_creator,official_website,model_category,release_date,input_modalities,output_modalities,context_window,open_weights_status,license,huggingface_url,github_url,logo_url,description,quality_score
all-MiniLM-L6-v2,all,sentence-transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,,,all-MiniLM-L6-v2 is an AI model developed by sentence-transformers for sentence-similarity.,80
ms-marco-MiniLM-L6-v2,ms,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,text-ranking,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,,,ms-marco-MiniLM-L6-v2 is an AI model developed by cross-encoder for text-ranking.,80
bge-small-en-v1.5,bge,BAAI,https://huggingface.co/BAAI/bge-small-en-v1.5,feature-extraction,2023-09-12,text,text,N/A,Open-weight,N/A,https://huggingface.co/BAAI/bge-small-en-v1.5,,,bge-small-en-v1.5 is an AI model developed by BAAI for feature-extraction.,80
electra-base-discriminator,electra,google,https://huggingface.co/google/electra-base-discriminator,General ML,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/google/electra-base-discriminator,,,electra-base-discriminator is an AI model developed by google for general ML tasks.,80
bert-base-uncased,bert,google-bert,https://huggingface.co/google-bert/bert-base-uncased,fill-mask,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/google-bert/bert-base-uncased,,,bert-base-uncased is an AI model developed by google-bert for fill-mask.,80
paraphrase-multilingual-MiniLM-L12-v2,paraphrase,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,,paraphrase-multilingual-MiniLM-L12-v2 is an AI model developed by sentence-transformers for sentence-similarity.,80
bge-m3,bge,BAAI,https://huggingface.co/BAAI/bge-m3,sentence-similarity,2024-01-27,text,text,N/A,Open-weight,N/A,https://huggingface.co/BAAI/bge-m3,,,bge-m3 is an AI model developed by BAAI for sentence-similarity.,80
t5-small,t5,google-t5,https://huggingface.co/google-t5/t5-small,translation,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/google-t5/t5-small,,,t5-small is an AI model developed by google-t5 for translation.,80
all-mpnet-base-v2,all,sentence-transformers,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,sentence-similarity,2022-03-02,text,text,N/A,Open-weight,N/A,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,,,all-mpnet-base-v2 is an AI model developed by sentence-transformers for sentence-similarity.,80
chronos-2,chronos,amazon,https://huggingface.co/amazon/chronos-2,time-series-forecasting,2025-10-30,text,text,N/A,Open-weight,N/A,https://huggingface.co/amazon/chronos-2,,,chronos-2 is an AI model developed by amazon for time-series-forecasting.,80
