model_name,model_family,company_creator,official_website,model_category,release_date,input_modalities,output_modalities,context_window,open_weights_status,license,huggingface_url,github_url,logo_url,description,quality_score
all-MiniLM-L6-v2,all,sentence-transformers,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,2022-03-02,text,text,,Open-weight,,https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,,,"all-MiniLM-L6-v2 is a high-performance open-weight AI model developed by sentence-transformers, optimized for sentence-similarity applications and production workflows.",80
ms-marco-MiniLM-L6-v2,ms,cross-encoder,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,text-ranking,2022-03-02,text,text,,Open-weight,,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,,,"ms-marco-MiniLM-L6-v2 is a high-performance open-weight AI model developed by cross-encoder, optimized for text-ranking applications and production workflows.",80
bge-small-en-v1.5,bge,BAAI,https://huggingface.co/BAAI/bge-small-en-v1.5,feature-extraction,2023-09-12,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-small-en-v1.5,,,"bge-small-en-v1.5 is a high-performance open-weight AI model developed by BAAI, optimized for feature-extraction applications and production workflows.",80
electra-base-discriminator,electra,google,https://huggingface.co/google/electra-base-discriminator,General ML,2022-03-02,text,text,,Open-weight,,https://huggingface.co/google/electra-base-discriminator,,,"electra-base-discriminator is a high-performance open-weight AI model developed by google, optimized for General ML applications and production workflows.",80
bert-base-uncased,bert,google-bert,https://huggingface.co/google-bert/bert-base-uncased,fill-mask,2022-03-02,text,text,,Open-weight,,https://huggingface.co/google-bert/bert-base-uncased,,,"bert-base-uncased is a high-performance open-weight AI model developed by google-bert, optimized for fill-mask applications and production workflows.",80
paraphrase-multilingual-MiniLM-L12-v2,paraphrase,sentence-transformers,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,2022-03-02,text,text,,Open-weight,,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,,"paraphrase-multilingual-MiniLM-L12-v2 is a high-performance open-weight AI model developed by sentence-transformers, optimized for sentence-similarity applications and production workflows.",80
bge-m3,bge,BAAI,https://huggingface.co/BAAI/bge-m3,sentence-similarity,2024-01-27,text,text,,Open-weight,,https://huggingface.co/BAAI/bge-m3,,,"bge-m3 is a high-performance open-weight AI model developed by BAAI, optimized for sentence-similarity applications and production workflows.",80
t5-small,t5,google-t5,https://huggingface.co/google-t5/t5-small,translation,2022-03-02,text,text,,Open-weight,,https://huggingface.co/google-t5/t5-small,,,"t5-small is a high-performance open-weight AI model developed by google-t5, optimized for translation applications and production workflows.",80
all-mpnet-base-v2,all,sentence-transformers,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,sentence-similarity,2022-03-02,text,text,,Open-weight,,https://huggingface.co/sentence-transformers/all-mpnet-base-v2,,,"all-mpnet-base-v2 is a high-performance open-weight AI model developed by sentence-transformers, optimized for sentence-similarity applications and production workflows.",80
chronos-2,chronos,amazon,https://huggingface.co/amazon/chronos-2,time-series-forecasting,2025-10-30,text,text,,Open-weight,,https://huggingface.co/amazon/chronos-2,,,"chronos-2 is a high-performance open-weight AI model developed by amazon, optimized for time-series-forecasting applications and production workflows.",80
